frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
175,19572.317932,1,1036.24,682.31,42.11,43.97,0.9214,3.0304,3.6112,24.1622,0.4946,2,0.2866,0.5011,3.6760
176,19572.334187,1,1036.66,686.30,42.38,43.66,0.9167,3.0116,3.6312,24.0297,0.4359,2,0.2900,0.5236,3.6926
177,19572.350070,1,1036.32,690.93,43.40,43.18,0.9279,2.9405,3.5217,24.7763,0.5416,2,0.2798,0.5311,3.5843
178,19572.365425,1,1036.45,695.63,41.64,42.10,0.9263,3.0646,3.5982,24.2496,0.8611,2,0.2870,0.5673,3.6687
179,19572.381245,1,1035.99,701.39,40.77,42.22,0.9073,3.1303,3.7775,23.0989,0.7519,2,0.2982,0.6244,3.8414
180,19572.397105,1,1035.55,707.66,40.97,41.52,0.9131,3.1146,3.7988,22.9692,0.6624,2,0.2973,0.6609,3.8610
181,19572.413246,1,1035.11,714.87,40.47,41.23,0.9191,3.1529,3.7392,23.3356,0.7978,2,0.2913,0.6903,3.8121
182,19572.429116,1,1034.93,721.58,40.05,41.38,0.9060,3.1855,3.8047,22.9338,0.5607,2,0.2953,0.7379,3.8771
183,19572.444789,1,1034.64,728.43,41.09,41.98,0.9191,3.1048,3.7431,23.3110,0.4712,2,0.2888,0.7615,3.8123
184,19572.460929,1,1034.59,736.05,41.25,42.98,0.9067,3.0930,3.5779,24.3874,0.5436,2,0.2769,0.7691,3.6584
185,19572.476783,1,1034.21,743.76,40.42,40.48,0.9118,3.1563,3.7790,23.0894,0.5763,2,0.2894,0.8503,3.8505
186,19572.492896,1,1034.09,747.78,40.41,40.25,0.8926,3.1575,3.7064,23.5416,0.6214,2,0.2838,0.8566,3.7842
187,19572.508860,1,1034.11,740.88,40.16,41.34,0.9167,3.1771,3.8446,22.6955,0.3140,2,0.2937,0.8489,3.9141
